2020,SHISHKIN (IRE),Nico de Boinville,Nicky Henderson,ABACADABRAS (FR),Davy Russell,"Gordon Elliott, Ireland",CHANTRY HOUSE (IRE),Barry Geraghty,Nicky Henderson,26,supreme novices hurdle
2019,KLASSICAL DREAM (FR),R. Walsh,"W. P. Mullins, Ireland",THOMAS DARBY (IRE),Richard Johnson,Olly Murphy,ITCHY FEET (FR),Gavin Sheehan,Olly Murphy,27,supreme novices hurdle
2018,SUMMERVILLE BOY (IRE),Noel Fehily,Tom George,KALASHNIKOV (IRE),Jack Quinlan,Amy Murphy,MENGLI KHAN (IRE),J. W. Kennedy,"Gordon Elliott, Ireland",28,supreme novices hurdle
2017,LABAIK (FR),J. W. Kennedy,"Gordon Elliott, Ireland",MELON,R. Walsh,"W. P. Mullins, Ireland",RIVER WYLDE (IRE),Nico de Boinville,Nicky Henderson,29,supreme novices hurdle
2016,ALTIOR (IRE),Nico de Boinville,Nicky Henderson,MIN (FR),R. Walsh,"W. P. Mullins, Ireland",BUVEUR D AIR (FR),Noel Fehily,Nicky Henderson,30,supreme novices hurdle
2015,DOUVAN (FR),R. Walsh,"W. P. Mullins, Ireland",SHANESHILL (IRE),P. Townend,"W. P. Mullins, Ireland",SIZING JOHN,Jonathan Burke,"Henry de Bromhead, Ireland",31,supreme novices hurdle
2014,VAUTOUR (FR),R. Walsh,"W. P. Mullins, Ireland",JOSSES HILL (IRE),Andrew Tinkler,Nicky Henderson,VANITEUX (FR),Barry Geraghty,Nicky Henderson,32,supreme novices hurdle
2013,CHAMPAGNE FEVER (IRE),R. Walsh,"W. P. Mullins, Ireland",MY TENT OR YOURS (IRE),A. P. McCoy,Nicky Henderson,JEZKI (IRE),Robbie Power,"Mrs J. Harrington, Ireland",33,supreme novices hurdle
2012,CINDERS AND ASHES,Jason Maguire,Donald McCain,DARLAN,A. P. McCoy,Nicky Henderson,TRIFOLIUM (FR),Davy Russell,"Charles Byrnes, Ireland",34,supreme novices hurdle
2011,AL FEROF (FR),R. Walsh,Paul Nicholls,SPIRIT SON (FR),Barry Geraghty,Nicky Henderson,SPRINTER SACRE (FR),A. P. McCoy,Nicky Henderson,35,supreme novices hurdle
2010,MENORAH (IRE),Richard Johnson,Philip Hobbs,GET ME OUT OF HERE (IRE),A. P. McCoy,Jonjo O Neill,DUNGUIB (IRE),Brian O Connell,"Philip Fenton, Ireland",36,supreme novices hurdle
2009,GO NATIVE (IRE),Paul Carberry,"Noel Meade, Ireland",MEDERMIT (FR),Robert Thornton,Alan King,SOMERSBY (IRE),Dominic Elsworth,Henrietta C Knight,37,supreme novices hurdle
2008,CAPTAIN CEE BEE (IRE),Robert Thornton,"Edward P. Harty, Ireland",BINOCULAR (FR),A. P. McCoy,Nicky Henderson,SNAP TIE (IRE),Richard Johnson,Philip Hobbs,38,supreme novices hurdle
2007,EBAZIYAN (IRE),Davy Condon,"W. P. Mullins, Ireland",GRANIT JACK (FR),R. Walsh,Paul Nicholls,AMARETTO ROSE,Mick Fitzgerald,Nicky Henderson,39,supreme novices hurdle
2006,NOLAND,R. Walsh,Paul Nicholls,STRAW BEAR (USA),A. P. McCoy,Nick Gifford,BUENA VISTA (IRE),Timmy Murphy,M. C. Pipe,40,supreme novices hurdle
2005,ARCALIS,Graham Lee,Howard Johnson,WILD PASSION (GER),Paul Carberry,"Noel Meade, Ireland",DUSKY WARBLER,Jamie Moore,Gary Moore,41,supreme novices hurdle
2004,BRAVE INCA (IRE),B. M. Cash,"Colm A. Murphy, Ireland",WAR OF ATTRITION (IRE),Conor O Dwyer,"M. F. Morris, Ireland",FLEET STREET,Andrew Tinkler,Nicky Henderson,42,supreme novices hurdle
2003,BACK IN FRONT (IRE),Norman Williamson,"E. J. O Grady, Ireland",KICKING KING (IRE),Barry Geraghty,"Tom J. Taaffe, Ireland",CHAUVINIST (IRE),Mick Fitzgerald,Nicky Henderson,43,supreme novices hurdle
2002,LIKE-A-BUTTERFLY (IRE),C. F. Swan,"C. Roche, Ireland",WESTENDER (FR),A. P. McCoy,M. C. Pipe,IN CONTRAST (IRE),Richard Johnson,Philip Hobbs,44,supreme novices hurdle
2023,EL FABIOLO (FR),P. Townend,"W. P. Mullins, Ireland",JONBON (FR),Aidan Coleman,Nicky Henderson,SAINT ROI (FR),M. P. Walsh,"W. P. Mullins, Ireland",45,arkle
2022,EDWARDSTONE,Tom Cannon,Alan King,GABYNAKO (FR),Keith Donoghue,"Gavin Patrick Cromwell, Ireland",BLUE LORD (FR),P. Townend,"W. P. Mullins, Ireland",46,arkle
2021,SHISHKIN (IRE),Nico de Boinville,Nicky Henderson,ELDORADO ALLEN (FR),Harry Cobden,Colin Tizzard,CAPTAIN GUINNESS (IRE),Rachael Blackmore,"Henry de Bromhead, Ireland",47,arkle
2020,PUT THE KETTLE ON (IRE),Aidan Coleman,"Henry de Bromhead, Ireland",FAKIR DOUDAIRIES (FR),M. P. Walsh,"Joseph Patrick O Brien, Ireland",ROUGE VIF (FR),Gavin Sheehan,Harry Whittington,48,arkle
2019,DUC DES GENIEVRES (FR),P. Townend,"W. P. Mullins, Ireland",US AND THEM (IRE),J. J. Slevin,"Joseph Patrick O Brien, Ireland",ARTICULUM (IRE),D. J. Mullins,"Terence O Brien, Ireland",49,arkle
2018,FOOTPAD (FR),R. Walsh,"W. P. Mullins, Ireland",BRAIN POWER (IRE),Nico de Boinville,Nicky Henderson,PETIT MOUCHOIR (FR),Davy Russell,"Henry de Bromhead, Ireland",50,arkle
2017,ALTIOR (IRE),Nico de Boinville,Nicky Henderson,CLOUDY DREAM (IRE),Brian Hughes,Malcolm Jefferson,ORDINARY WORLD (IRE),Davy Russell,"Henry de Bromhead, Ireland",51,arkle
2016,DOUVAN (FR),R. Walsh,"W. P. Mullins, Ireland",SIZING JOHN,Jonathan Burke,"Henry de Bromhead, Ireland",FOX NORTON (FR),Richard Johnson,Neil Mulholland,52,arkle
2015,UN DE SCEAUX (FR),R. Walsh,"W. P. Mullins, Ireland",GODS OWN (IRE),Paddy Brennan,Tom George,JOSSES HILL (IRE),Barry Geraghty,Nicky Henderson,53,arkle
2014,WESTERN WARHORSE (IRE),Tom Scudamore,David Pipe,CHAMPAGNE FEVER (IRE),R. Walsh,"W. P. Mullins, Ireland",TRIFOLIUM (FR),B. J. Cooper,"Charles Byrnes, Ireland",54,arkle
2013,SIMONSIG,Barry Geraghty,Nicky Henderson,BAILY GREEN (IRE),D. J. Casey,"M. F. Morris, Ireland",HIS EXCELLENCY (IRE),Tom Scudamore,David Pipe,55,arkle
2012,SPRINTER SACRE (FR),Barry Geraghty,Nicky Henderson,CUE CARD,Joe Tizzard,Colin Tizzard,MENORAH (IRE),Richard Johnson,Philip Hobbs,56,arkle
2011,CAPTAIN CHRIS (IRE),Richard Johnson,Philip Hobbs,FINIANS RAINBOW (IRE),Barry Geraghty,Nicky Henderson,REALT DUBH (IRE),Paul Carberry,"Noel Meade, Ireland",57,arkle
2010,SIZING EUROPE (IRE),A. E. Lynch,"Henry de Bromhead, Ireland",SOMERSBY (IRE),Robert Thornton,Henrietta C Knight,OSANA (FR),Andrew J. McNamara,"E. J. O Grady, Ireland",58,arkle
2009,FORPADYDEPLASTERER (IRE),Barry Geraghty,"Thomas Cooper, Ireland",KALAHARI KING (FR),Graham Lee,"Ferdy Murphy, France",PLANET OF SOUND,Richard Johnson,Philip Hobbs,59,arkle
2008,TIDAL BAY (IRE),Denis O Regan,Howard Johnson,KRUGUYROVA (FR),A. P. McCoy,Charles Egerton,NOLAND,R. Walsh,Paul Nicholls,60,arkle
2007,MY WAY DE SOLZEN (FR),Robert Thornton,Alan King,FAIR ALONG (GER),Richard Johnson,Philip Hobbs,JACK THE GIANT (IRE),Mick Fitzgerald,Nicky Henderson,61,arkle
2006,VOY POR USTEDES (FR),Robert Thornton,Alan King,MONETS GARDEN (IRE),Tony Dobbin,Nicky Richards,FOREMAN (GER),A. P. McCoy,"Thierry Doumen, France",62,arkle
2005,CONTRABAND,Timmy Murphy,M. C. Pipe,ASHLEY BROOK (IRE),Paddy Brennan,Kevin Bishop,RIVER CITY (IRE),Tom Doyle,Noel Chance,63,arkle
2004,WELL CHIEF (GER),A. P. McCoy,M. C. Pipe,KICKING KING (IRE),Barry Geraghty,"Tom J. Taaffe, Ireland",LE DUC (FR),Joe Tizzard,Paul Nicholls,64,arkle
2003,AZERTYUIOP (FR),R. Walsh,Paul Nicholls,IMPEK (FR),Jim Culloty,Henrietta C Knight,ISIO (FR),Mick Fitzgerald,Nicky Henderson,65,arkle
2002,MOSCOW FLYER (IRE),Barry Geraghty,"Mrs J. Harrington, Ireland",SEEBALD (GER),A. P. McCoy,M. C. Pipe,ARMATURK (FR),Timmy Murphy,Paul Nicholls,66,arkle
2023,IMPAIRE ET PASSE (FR),P. Townend,"W. P. Mullins, Ireland",GAELIC WARRIOR (GER),Mr P. W. Mullins,"W. P. Mullins, Ireland",CHAMP KIELY (IRE),D. E. Mullins,"W. P. Mullins, Ireland",67,ballymore novices hurdle
2022,SIR GERHARD (IRE),P. Townend,"W. P. Mullins, Ireland",THREE STRIPE LIFE (IRE),Davy Russell,"Gordon Elliott, Ireland",WHATDEAWANT (IRE),D. E. Mullins,"W. P. Mullins, Ireland",68,ballymore novices hurdle
2021,BOB OLINGER (IRE),Rachael Blackmore,"Henry de Bromhead, Ireland",GAILLARD DU MESNIL (FR),P. Townend,"W. P. Mullins, Ireland",BRAVEMANSGAME (FR),Harry Cobden,Paul Nicholls,69,ballymore novices hurdle
2020,ENVOI ALLEN (FR),Davy Russell,"Gordon Elliott, Ireland",EASYWORK (FR),Rachael Blackmore,"Gordon Elliott, Ireland",THE BIG GETAWAY (IRE),P. Townend,"W. P. Mullins, Ireland",70,ballymore novices hurdle
2019,CITY ISLAND (IRE),M. P. Walsh,"Martin Brassil, Ireland",CHAMP (IRE),Barry Geraghty,Nicky Henderson,BRIGHT FORECAST (IRE),Nico de Boinville,Ben Pauling,71,ballymore novices hurdle
2018,SAMCRO (IRE),J. W. Kennedy,"Gordon Elliott, Ireland",BLACK OP (IRE),Noel Fehily,Tom George,NEXT DESTINATION (IRE),R. Walsh,"W. P. Mullins, Ireland",72,ballymore novices hurdle
2017,WILLOUGHBY COURT (IRE),David Bass,Ben Pauling,NEON WOLF (IRE),Noel Fehily,Harry Fry,MESSIRE DES OBEAUX (FR),Daryl Jacob,Alan King,73,ballymore novices hurdle
2016,YORKHILL (IRE),R. Walsh,"W. P. Mullins, Ireland",YANWORTH,Barry Geraghty,Alan King,ITS AFREEBEE (IRE),Ian Popham,Dan Skelton,74,ballymore novices hurdle
2015,WINDSOR PARK (IRE),Davy Russell,"D. K. Weld, Ireland",PARLOUR GAMES,A. P. McCoy,John Ferguson,NICHOLS CANYON,R. Walsh,"W. P. Mullins, Ireland",75,ballymore novices hurdle
2014,FAUGHEEN (IRE),R. Walsh,"W. P. Mullins, Ireland",BALLYALTON (IRE),William Kennedy,Ian Williams,RATHVINDEN (IRE),P. Townend,"W. P. Mullins, Ireland",76,ballymore novices hurdle
2013,THE NEW ONE (IRE),Sam Twiston-Davies,Nigel Twiston-Davies,RULE THE WORLD,Davy Russell,"M. F. Morris, Ireland",PONT ALEXANDRE (GER),R. Walsh,"W. P. Mullins, Ireland",77,ballymore novices hurdle
2012,SIMONSIG,Barry Geraghty,Nicky Henderson,FELIX YONGER (IRE),P. Townend,"W. P. Mullins, Ireland",MONKSLAND (IRE),Paul Carberry,"Noel Meade, Ireland",78,ballymore novices hurdle
2011,FIRST LIEUTENANT (IRE),Davy Russell,"M. F. Morris, Ireland",ROCK ON RUBY (IRE),Daryl Jacob,Paul Nicholls,SO YOUNG (FR),R. Walsh,"W. P. Mullins, Ireland",79,ballymore novices hurdle
2010,PEDDLERS CROSS (IRE),Jason Maguire,Donald McCain,REVE DE SIVOLA (FR),Daryl Jacob,"Nick Williams, France",RITE OF PASSAGE,Mr R. P. McNamara,"D. K. Weld, Ireland",80,ballymore novices hurdle
2009,MIKAEL D HAGUENET (FR),R. Walsh,"W. P. Mullins, Ireland",KARABAK (FR),A. P. McCoy,Alan King,DIAMOND HARRY,Timmy Murphy,"Nick Williams, France",81,ballymore novices hurdle
2008,FIVEFORTHREE (IRE),R. Walsh,"W. P. Mullins, Ireland",VENALMAR,Paddy Flood,"M. F. Morris, Ireland",TRAFFORD LAD,Tom Doyle,"E. Sheehy, Ireland",82,ballymore novices hurdle
2007,MASSINI S MAGUIRE (IRE),Richard Johnson,Philip Hobbs,TIDAL BAY (IRE),Paddy Brennan,Howard Johnson,CATCH ME (GER),Barry Geraghty,"E. J. O Grady, Ireland",83,ballymore novices hurdle
2006,NICANOR (FR),Paul Carberry,"Noel Meade, Ireland",DENMAN (IRE),R. Walsh,Paul Nicholls,REFINEMENT (IRE),A. P. McCoy,Jonjo O Neill,84,ballymore novices hurdle
2005,NO REFUGE (IRE),Graham Lee,Howard Johnson,RACING DEMON (IRE),Jim Culloty,Henrietta C Knight,OUR BEN,R. Walsh,"W. P. Mullins, Ireland",85,ballymore novices hurdle
2004,FUNDAMENTALIST (IRE),Carl Llewellyn,Nigel Twiston-Davies,INGLIS DREVER,Graham Lee,Howard Johnson,GREY REPORT (IRE),Richard Johnson,Philip Hobbs,86,ballymore novices hurdle
2003,HARDY EUSTACE (IRE),K. A. Kelly,"D. T. Hughes, Ireland",PIZARRO (IRE),Norman Williamson,"E. J. O Grady, Ireland",LORD SAM (IRE),Warren Marston,Victor Dartnall,87,ballymore novices hurdle
